item.0.text,item.0.audio,item.1.text,item.1.audio,item.2.text,item.2.audio
They've been abroad now<br/>,/audio/glory_1.mp3,"Truth be told,<br>",/audio/first_steps_1.mp3,We can't make turtle soup<br>,/audio/collateral_1.mp3
Long enough to have leased<br/><br/>,/audio/glory_2.mp3,"She turned me down,<br><br>",/audio/first_steps_2.mp3,"Throwing bricks into trees,<br><br>",/audio/collateral_2.mp3
Walk-ups on streets thick<br/>,/audio/glory_3.mp3,"Kept it to a few kisses,<br> ",/audio/first_steps_3.mp3,Unless we miss the grackles<br>,/audio/collateral_3.mp3
With garlic and coal.<br/><br/>,/audio/glory_4.mp3,My fingers just beginning to touch<br><br> ,/audio/first_steps_4.mp3,(Who keep us awake afternoons)<br><br>,/audio/collateral_4.mp3
They've grown to like wine<br/>,/audio/glory_5.mp3,The thick curls of her hair&mdash;<br> ,/audio/first_steps_5.mp3,And one of the bricks careens<br>,/audio/collateral_5.mp3
"With breakfast, cocoa in chili,<br/><br/>",/audio/glory_6.mp3,The liquid drawn close to my lips<br><br> ,/audio/first_steps_6.mp3,Into a creek and cracks off the skull<br><br>,/audio/collateral_6.mp3
The way the shops closing early <br/>,/audio/glory_7.mp3,Only to watch it repool<br> ,/audio/first_steps_7.mp3,Of a snapper too slow to see <br>,/audio/collateral_7.mp3
Has broken their routines.<br/><br/>,/audio/glory_8.mp3,At the bottom of the glass.<br><br> ,/audio/first_steps_8.mp3,What's bearing down on him&mdash;<br><br>,/audio/collateral_8.mp3
"Mornings on the plaza,<br/>",/audio/glory_9.mp3,"How strange, then,<br> ",/audio/first_steps_9.mp3,"A brick without his name on it,<br>",/audio/collateral_9.mp3
As ivory light thickens<br/><br/>,/audio/glory_10.mp3,"That I'm softly elated,<br><br> ",/audio/first_steps_10.mp3,With no need for his meat.<br><br>,/audio/collateral_10.mp3
"Around the statues,<br/>",/audio/glory_11.mp3,Stranger still I'm grateful<br> ,/audio/first_steps_11.mp3,And so we wind up hunting<br>,/audio/collateral_11.mp3
Women in beautiful linen<br/><br/>,/audio/glory_12.mp3,"For the smallness of the sip,<br><br> ",/audio/first_steps_12.mp3,(Illegal in this jurisdiction)<br><br>,/audio/collateral_12.mp3
Blink sadly at their papers<br/>,/audio/glory_13.mp3,For being allowed to taste<br> ,/audio/first_steps_13.mp3,Not particularly soup-hungry<br>,/audio/collateral_13.mp3
While the men share joking jabs<br/><br/>,/audio/glory_14.mp3,"What a full swallow would mask,<br><br> ",/audio/first_steps_14.mp3,"But buying and mincing garlic anyway,<br><br>",/audio/collateral_14.mp3
Beneath the tobacconist's awning.<br/>,/audio/glory_15.mp3,The lip my lips<br> ,/audio/first_steps_15.mp3,To guard our tired liberties&mdash;<br>,/audio/collateral_15.mp3
"In blue coveralls,<br/><br/>",/audio/glory_16.mp3,"first encountered,<br><br> ",/audio/first_steps_16.mp3,Our bedrooms near the grackles<br><br>,/audio/collateral_16.mp3
City workers sweep passports<br/>,/audio/glory_17.mp3,The lips that opened me<br> ,/audio/first_steps_17.mp3,And the trees where they gather<br>,/audio/collateral_17.mp3
Which collect like dead birds overnight.<br/><br/>,/audio/glory_18.mp3,into a ready smile.<br><br> ,/audio/first_steps_18.mp3,To readle-eak into the evening.<br><br>,/audio/collateral_18.mp3
"Curt Rode<br><i data-type=\""c\"">Glory</i><br>",,"Curt Rode<br><i data-type=\""c\"">First Steps Back</i><br>",,"Curt Rode<br><i data-type=\""c\"">Collateral Damage</i><br>",
